Z13,Mean,Outer Edge Length,Surface,Variance,Max_Deviation,Min_Deviation,Span_Deviation,F'i li,fl' li,fk' li,fi' li,F'i re,fl' re,fk' re,fi' re
KW_109,2649.639905,0.051942098,7.77123332582646e-07,7754473466.05139,7.438724853,0.209010263,7.22971459,12.416836,5.338022,10.280373,10.31667,12.571495,5.340511,7.585411,7.479354
KW_110,2649.644876,0.042773739,6.29236824753077e-07,7754473439.7213,7.438340227,0.209087148,7.229253079,29.589928,6.646541,25.145469,24.375468,18.669525,3.883345,15.493611,15.033329
KW_111,2649.64649,0.039703106,5.96813927903386e-07,7754473431.18875,7.438626689,0.209074514,7.229552175,13.322447,5.057773,9.122492,8.937973,12.153953,3.977277,8.661599,8.288242
KW_112,2649.650134,0.037108496,5.62050318482373e-07,7754473411.89691,7.438449026,0.209103917,7.229345109,13.194816,6.509848,10.993838,10.63056,15.324366,6.749138,8.879842,8.853488
KW_113,2649.649406,0.043810626,6.20294085357562e-07,7754473415.74456,7.438585364,0.209027993,7.229557372,19.836323,4.625728,17.516906,11.749013,10.697236,4.944173,7.067995,7.434709
KW_114,2649.660965,0.040549414,5.76630218121487e-07,7754473354.54871,7.438769421,0.209009638,7.229759783,11.06358,4.164259,12.645801,10.317594,11.758421,4.191012,8.136946,8.051266
KW_115,2649.649811,0.044319816,6.36711479764844e-07,7754473413.5966,7.438691615,0.209114256,7.229577359,12.925083,5.75264,9.123441,8.732399,11.838864,5.211987,6.992324,6.929521
KW_116,2649.649915,0.040818159,5.81757816399328e-07,7754473413.05495,7.438634454,0.209053742,7.229580712,15.352077,4.44757,11.313178,9.825809,11.876351,4.407481,8.295385,8.73368
KW_117,2649.644852,0.046567567,6.80836499059859e-07,7754473439.85124,7.438765476,0.209045928,7.229719548,11.117737,4.615263,8.887784,8.09037,12.062632,5.552564,7.661358,7.530241
KW_118,2649.655812,0.048799684,7.15861347173471e-07,7754473381.83098,7.438781958,0.209147454,7.229634504,12.247681,4.958432,8.36351,7.769407,12.609388,4.612146,8.314743,7.957105
KW_119,2649.648514,0.036787244,5.42070116464534e-07,7754473420.46621,7.438678772,0.209013065,7.229665707,22.228082,2.348292,22.923765,22.221047,9.677723,3.419513,7.508111,7.825658
KW_120,2649.648763,0.04922787,7.20626304153043e-07,7754473419.14462,7.438654091,0.209088602,7.22956549,20.412452,4.488584,20.997951,20.412452,437.413842,65.600934,431.951917,431.877529
KW_121,2649.647272,0.04329485,6.21692759763143e-07,7754473427.04323,7.438661607,0.209097915,7.229563692,13.732865,6.544611,11.349548,12.242865,15.190586,7.136844,8.771689,8.665872
KW_122,2649.649222,0.043431319,6.48868364283111e-07,7754473416.71761,7.438345498,0.209087473,7.229258025,17.037087,4.960866,14.070486,12.387623,12.522935,5.429299,7.975405,7.799806
KW_123,2649.644393,0.039296299,5.75102897453056e-07,7754473442.28316,7.438662494,0.209009638,7.229652856,16.715105,3.627685,16.989303,16.715105,10.35929,3.704686,8.048772,7.392714
KW_124,2649.649788,0.042264842,6.14958928520193e-07,7754473413.72125,7.438631536,0.20904382,7.229587716,11.74481,5.883553,7.774679,7.621842,12.035012,4.83766,9.091294,9.518141
KW_125,2649.649647,0.036862447,5.28187864266721e-07,7754473414.4674,7.43849236,0.208999079,7.229493281,29.545274,7.142546,23.612307,20.642037,13.674587,5.688123,8.648301,8.373596
KW_126,2649.647308,0.043187272,6.14832666043019e-07,7754473426.8574,7.438684462,0.209017161,7.2296673,13.051229,3.758544,9.88686,9.172451,12.095602,5.120933,7.638762,7.226498
KW_127,2649.637784,0.03843274,5.83271527767313e-07,7754473477.28077,7.438642716,0.208997995,7.229644721,10.269629,3.060954,9.865557,9.668917,10.259159,2.945298,8.431233,7.572772
KW_128,2649.637965,0.047982581,7.0670618899667e-07,7754473476.30876,7.438421642,0.209009638,7.229412004,16.978383,6.25824,14.338869,13.89319,10.399411,4.277397,7.160224,7.371871
KW_129,2649.645825,0.051663981,7.84981346192068e-07,7754473434.70725,7.438824408,0.209051991,7.229772417,22.47734,7.130688,19.000001,17.978832,17.012156,7.113101,13.615645,15.056166
KW_130,2649.659148,0.040883531,5.86226130868329e-07,7754473364.17012,7.438684876,0.20902636,7.229658516,12.200605,5.056,8.132757,8.362634,13.259497,5.338915,8.598151,8.781116
KW_131,2649.657135,0.041749689,6.04622172471174e-07,7754473374.82703,7.438758145,0.209097433,7.229660712,13.556812,5.735658,9.202299,8.868411,13.162863,4.895403,8.747465,8.690404
KW_132,2649.641292,0.041588436,5.94831038323594e-07,7754473458.70627,7.438363039,0.209017979,7.229345061,13.105461,3.598048,11.069515,10.501866,9.972859,2.976886,7.075746,7.07455
KW_133,2649.637582,0.043125895,6.18756298667679e-07,7754473478.34665,7.438624453,0.209099065,7.229525388,23.597567,3.855561,22.757763,17.564709,12.370574,5.610659,8.662515,8.053357
KW_134,2649.644898,0.040544558,5.90824015314583e-07,7754473439.62115,7.438689051,0.20906282,7.229626231,16.390718,5.926603,20.247195,13.759421,12.739444,5.566661,8.842371,8.636608
KW_135,2649.641797,0.041939285,6.1992027702748e-07,7754473456.03923,7.438794684,0.209124059,7.229670626,11.905878,3.891055,10.399997,10.642746,10.731458,4.388111,7.666514,7.557794
KW_136,2649.656276,0.036589437,5.10044312661369e-07,7754473379.37708,7.438631557,0.209149604,7.229481953,31.508788,5.102498,27.130349,22.156914,12.571569,5.297851,8.00768,8.59514
KW_137,2649.642707,0.05287859,7.7722200764712e-07,7754473451.19925,7.438779685,0.209102368,7.229677317,13.766778,4.393233,12.736295,12.347471,12.519506,5.966985,7.244482,7.755747
KW_138,2649.640531,0.041691347,5.9866313219467e-07,7754473462.74105,7.438697488,0.209236439,7.229461049,25.101636,6.757671,23.249858,23.949816,12.72323,5.319619,10.265915,10.286673
KW_139,2649.648465,0.031718181,4.59325201469854e-07,7754473420.7252,7.43864476,0.209079362,7.229565398,10.693055,3.947287,10.909664,9.153683,11.402426,3.43033,8.132983,7.960257
KW_140,2649.643031,0.048506095,7.22620918648237e-07,7754473449.50158,7.438603342,0.209043433,7.229559908,12.770057,4.962925,10.288825,9.777237,10.887361,4.683125,7.317897,7.226025
