Z13,Z19,MeanZ13,MeanZ19,OuterEdgeLengthZ13,OuterEdgeLengthZ19,SurfaceZ13,SurfaceZ19,VarianceZ13,VarianceZ19,Max_DeviationZ13,Max_DeviationZ19,Min_DeviationZ13,Min_DeviationZ19,Span_DeviationZ13,Span_DeviationZ19,Fi_liZ13,Fi_liZ19,Fi_reZ13,Fi_reZ19,fl_liZ13,fl_liZ19,fl_reZ13,fl_reZ19,fk_liZ13,fk_liZ19,fk_reZ13,fk_reZ19,fi_liZ13,fi_liZ19,fi_reZ13,fi_reZ19
88.0,73.0,2649.628961,1825.51046,0.039662049,9.342890036,5.6e-07,0.000121241,7754473524,2532849140,7.438682499,7.428568612,0.209116844,0.187552479,7.229565655,7.241016133,14.504398,10008.79958,12.135325,10009.17943,5.194189,15.81788,5.279325,13.2258,9.94129,10009.58256,7.046684,10009.21153,9.692412,10008.79958,6.296931,10009.17943
88.0,79.0,2649.628961,1825.51006,0.039662049,9.244901892,5.6e-07,0.000122271,7754473524,2532849141,7.438682499,7.428810736,0.209116844,0.187426337,7.229565655,7.2413844,14.504398,9992.75795,12.135325,9992.94278,5.194189,8.39331,5.279325,10.42788,9.94129,9993.05202,7.046684,9993.90788,9.692412,9992.75795,6.296931,9992.94278
88.0,81.0,2649.628961,1825.51006,0.039662049,9.244901892,5.6e-07,0.000122271,7754473524,2532849141,7.438682499,7.428810736,0.209116844,0.187426337,7.229565655,7.2413844,14.504398,9992.75795,12.135325,9992.94278,5.194189,8.39331,5.279325,10.42788,9.94129,9993.05202,7.046684,9993.90788,9.692412,9992.75795,6.296931,9992.94278
89.0,67.0,2649.629582,1825.508695,0.041548213,9.492655727,6.17e-07,0.00012324,7754473521,2532849146,7.438324465,7.428476194,0.20903873,0.187437677,7.229285735,7.241038517,14.953845,10002.39043,9.74084,10008.20526,5.584567,14.63389,4.182031,10.91513,10.730835,10003.19444,6.262976,10016.74849,10.757259,10002.39043,6.089565,10008.20526
96.0,89.0,2649.62707,1825.518536,0.041493697,9.261434522,6.01e-07,0.000122629,7754473534,2532849110,7.438547136,7.428573901,0.209123429,0.187522006,7.229423707,7.241051895,14.46622,10010.08921,10.382064,9992.34235,4.93901,8.54422,4.876473,6.58121,10.909613,10010.57341,6.024012,9996.72637,10.45163,10010.08921,6.183087,9992.34235
98.0,12.0,2649.631291,1825.498061,0.046077549,9.550890779,6.8e-07,0.000127382,7754473512,2532849185,7.438616746,7.428959244,0.209130033,0.187432252,7.229486713,7.241526992,11.932379,10002.21136,8.634703,10007.58984,3.80535,12.83125,3.541701,10.70881,10.520404,10009.88557,6.417397,10007.57722,9.672544,10002.21136,6.576699,10007.58984
100.0,43.0,2649.630229,1825.484896,0.039236463,9.205047264,5.71e-07,0.000118019,7754473517,2532849233,7.438619507,7.428285069,0.209138337,0.187464249,7.22948117,7.24082082,13.716523,10028.63791,18.888187,10050.33873,4.264952,9.31929,6.424888,7.11941,10.354718,10031.04244,15.395133,10055.92506,10.123389,10028.63791,16.028785,10050.33873
114.0,79.0,2649.660965,1825.498193,0.040549414,9.080920469,5.77e-07,0.000111606,7754473355,2532849184,7.438769421,7.429065993,0.209009638,0.187386807,7.229759783,7.241679186,11.06358,10040.13857,11.758421,10026.36465,4.164259,18.4477,4.191012,13.54032,12.645801,10040.27057,8.136946,10028.35827,10.317594,10040.13857,8.051266,10026.36465
114.0,100.0,2649.660965,1825.505968,0.040549414,9.355518899,5.77e-07,0.000120893,7754473355,2532849156,7.438769421,7.42855839,0.209009638,0.187561903,7.229759783,7.240996487,11.06358,10008.12889,11.758421,10012.89901,4.164259,15.72471,4.191012,15.41375,12.645801,10010.91893,8.136946,10014.34241,10.317594,10008.12889,8.051266,10012.89901
120.0,31.0,2649.648763,1825.497457,0.04922787,9.218075798,7.21e-07,0.000119151,7754473419,2532849187,7.438654091,7.428516045,0.209088602,0.187552479,7.22956549,7.240963566,20.412452,10027.34855,437.413842,10024.76987,4.488584,19.75771,65.600934,19.96962,20.997951,10028.62842,431.951917,10028.69844,20.412452,10027.34855,431.877529,10024.76987
121.0,30.0,2649.647272,1825.506192,0.04329485,9.413625334,6.22e-07,0.00012426,7754473427,2532849155,7.438661607,7.428215372,0.209097915,0.187420299,7.229563692,7.240795073,13.732865,10007.48612,15.190586,10006.23934,6.544611,18.16599,7.136844,14.72065,11.349548,10008.19598,8.771689,10008.77505,12.242865,10007.48612,8.665872,10006.23934
